Person,Contribution,Creator_role,Notes
Angel J. Battistessa," ""Antecedentes de la poesía gauchesca en el siglo XVIII""",AU,
Victoria Ocampo,"""Domingos en Hyde Park"" (notas)",AU,
Benjamin Fondane,"""La conciencia desventurada (Bergson, Freud y los dioses)""",AU,
Leopoldo Marechal,"""El sentido de la noche en el 'Nocturno Europeo' de Mallea"" (notas)",AU,
José Bianco,"""Siete años (III)""",AU,
Virginia Woolf,"""Un cuarto propio""",AU,
Juan Marinello Vidaurreta,"""Tres novelas ejemplares"" ",AU,
Conde de Keyserling,"""Sobre el porvenir de las civilizaciones del mediterraneo""",AU,
Pedro Henríquez Ureña,"""Camino interior"" (notas)",AU,
Virginia Woolf,"""Un cuarto propio (Capítulos 2 y 3)""",AU,
Attilio Rossi,"""Enseñanzas de un film"" (notas)",AU,
María Rosa González,"""Conexiones"" (notas)",AU,
Aldous Huxley,"""Notas actuales sobre la 'sociología generale' de Pareto""",AU,
Ernesto Palacio,"""Los gracos o el advenimiento de la plutocracia romana""",AU,
Juan Carlos Paz,"""Bach y la música de hoy"" (notas)",AU,
Pedro Henríquez Ureña,"""'El Buque'"" (notas)",AU,
Virginia Woolf,"""Un cuarto propio (capítulo 4)""",AU,
Louis Ollivier," ""La revolución del orden""",AU,
H. Siccardi,"""Influencia del modo en la composición musical"" (notas)",AU,
Jorge Luis Borges,"""La estatua casera"" (notas)",AU,
Waldo Frank,"""Palabras sobre Sur""",AU,
Vicente Huidobro,"""Tríptico a Stephane Mallarmé""",AU,
Eduardo Mallea,"""El escritor de hoy frente a su tiempo"" (2)",AU,
Virginia Woolf,"""Un cuarto propio (conclusión)""",AU,
Attilio Rossi,"""Para iniciar una sección de crítica"" (notas)",AU,
Igor Strawinsky,"""Beethoven""",AU,
Alberto Sartoris,"""Ideas a la Sordina""",AU,
Lisardo Zía,"""Los tomates y la luna"" (notas)",AU,
Jorge Luis Borges,"""Dos films"" (1) (notas)",AU,
Julio Irazusta,"""Libertad y organización en el Siglo XIX""",AU,
Juan José Castro,"""Strawinsky""",AU,
Louis Ollivier,"""El primer debate de 'SUR'"" (noticulares)",AU,
Lisardo Zía,"""Luz y sombra de Becquer""",AU,
André Gide,"""Perséphone""",AU,
