People,Creator_role,Title,Notes
Friedrich Durrenmatt,Author,Problemas teatrales,
Albert Schweitzer,Author,"Decaimiento y restauración de la civilización, Civilización y ética",
Lino Novás Calvo,Translator,Contrapunto,
Lino Novás Calvo,Translator,Canguro,
Victoria Ocampo,Prologuist,Canguro,
Eduardo Uribe,Translator,La virgen y el gitano,
Guillermo de Torre,Translator,Crónicas de mi vida,
Victoria Ocampo,Prologuist,Crónicas de mi vida,
Leopoldo Marechal,Translator,André Gide y nuestro tiempo,
Rubén Darío (hijo),Translator,Regreso de la URSS,
Ramón Gómez de la Serna,Translator,Tipos psicológicos,
César A. Comet,Translator,La condición humana,
Leopoldo Hurtado,Translator,Nuevas crónicas de mi vida,
Jorge Luis Borges,Translator,Un cuarto propio,
Jorge Luis Borges,Translator,Perséphone,
Ernesto Palacio,Translator,Retoques a mi regreso de la U.R.S.S.,
Julio Irazusta,Translator,Con los Esclavos en la Noria,
Jorge Luis Borges,Translator,Orlando,
Alberto Jiménez Fraud,Translator,Desterrados,
André Maurois,Prologuist,Napoleón venció en Waterloo,
Isaac Ungar,Translator,¿Es humano el hombre?,
Antonio Marichalar,Translator,Al faro,
José Bianco,Translator,"Los católicos, la política y el dinero",
Román Jiménez,Translator,Advertencia a Europa,
André Gide,Prologuist,Advertencia a Europa,
Jorge Luis Borges,Translator,Un bárbaro en Asia,
Carlos Reyles,Translator,El destino del hombre sapiens,
Román Jiménez,Translator,Tres guineas,
Pedro Lecuona (Pedro Ibarzabal),Translator,Luz de agosto,
Ricardo Baeza,Translator,Henry V y Laurence Olivier,
Victoria Prati de Fernández,Translator,El existencialismo es un humanismo,
Rosa Chacel,Translator,La peste,
B. R. Hopenhaym,Translator,Adiós a Berlín,
B. R. Hopenhaym,Translator,Ensayos críticos,
Ricardo Baeza,Translator,La tumba sin sosiego,
Juan Rodolfo Wilcock,Translator,El revés de la trama,
Aurora Bernárdez,Translator,Judas,
Patricio Armando Canto,Translator,Los desnudos y los muertos,
María Lejárraga (María Martínez Sierra),Translator,El libertino,
"Enrique Pezzoni (""Enrique Tejedor"")",Translator,Medianoche,
Victoria Ocampo,Translator,El que pierde gana,
Alberto Luis Bixio,Translator,Pentesilea,
José María Coco Ferraris,Translator,Diario de una escritora,
José Bianco,Translator,La cifra,
Herman Mario Cueva,Translator,El hijo de Stalin,
"Enrique Pezzoni (""Enrique Tejedor"")",Translator,Los hijos extraños,
Lido Monti,Translator,Gente en el tiempo,
Juan Rodolfo Wilcock,Translator,El paso a la India,
Carlos Peralta,Translator,Donde los ángeles no se aventuran,
Victoria Ocampo,Translator,Vinoba o la nueva peregrinación,
"Enrique Pezzoni (""Enrique Tejedor"")",Translator,Vinoba o la nueva peregrinación,
Victoria Ocampo,Translator,Gigi,
Victoria Ocampo,Translator,El troquel,
Ricardo Baeza,Translator,El fin de la aventura,
Alberto Luis Bixio,Translator,El Barón Bagge,
Valentina Díaz Leite,Translator,Los solterones,
Carlos Mastronardi,Translator,Los solterones,
Victoria Ocampo,Translator,Réquiem para una reclusa,
Victoria Ocampo,Translator,La casilla de las macetas,
Victoria Ocampo,Translator,El amante complaciente,
Victoria Ocampo,Translator,Bajo el bosque de leche,
Felix della Paolera,Translator,Bajo el bosque de leche,
Alberto Luis Bixio,Translator,La novela de una novela,
José Edmundo Clemente,Prologuist,Cuentos con policias,
Marcos Fingerit,Translator,Las brujas,
Carlos Alberto Erro,Prologuist,Facundo o civilización y barbarie,
Juan Carlos Ghiano,Prologuist,Recuerdos de provincia,
Octavio Paz,Prologuist,Árbol de Diana,
Fermín Estrella Gutiérrez,Prologuist,Fausto,
A. W. Lawrence,Prologuist,338.171. T. E.,
Victoria Ocampo,Prologuist,De Francesca a Beatrice,
Ignacio Iglesia,Prologuist,Expresión del pensamiento contemporáneo,
Roberto Bixio,Translator,Mecanismos del poder en América Latina,
Roberto Bixio,Translator,Poder y sociedad en el perú contemporáneo,
Victoria Ocampo,Translator,El cuarto en que se vive,
José Bianco,Translator,Una mujer imposible. Memorias de la Dottoressa Moor de Capri,
"Enrique Pezzoni (""Enrique Tejedor"")",Translator,¿Puedes prestarme su marido? Y otras comedias de la vida sexual,
